LSOA11CD,asian(%),black(%),mixed(%),white(%),other(%),Heterogeneity index
E01003025,5.16569200779727,28.21637426900585,9.405458089668615,51.656920077972714,5.555555555555555,0.6389387617842527
E01003029,4.860731840524304,12.179137083560896,6.772255598033862,72.58328782086292,3.6045876570180226,0.45008517369258894
E01003032,7.2801397786837505,24.228305183459522,6.348281887012231,56.14443797320908,5.998835177635411,0.613150417100705
E01003037,4.665738161559889,27.298050139275766,8.983286908077995,53.760445682451255,5.2924791086350975,0.6234152047237375
E01003050,3.799873337555415,22.16592780240659,9.563014566181128,59.97466751108297,4.496516782773908,0.5785601953441324
E01003058,3.383838383838384,16.767676767676768,6.363636363636363,69.0909090909091,4.393939393939394,0.48740383634323026
E01003059,6.089309878213803,28.101037437979254,9.201623815967523,49.165539016689216,7.442489851150203,0.6615941237279732
E01003062,4.1281912004345465,19.771863117870723,8.039109179793591,64.47582835415535,3.5850081477457905,0.5357419464482289
E01003064,3.067484662576687,12.81526925698705,9.338786639400135,70.62031356509884,4.158145875937287,0.4734627610661084
E01003075,5.052264808362369,50.174216027874564,9.872241579558652,26.65505226480836,8.246225319396052,0.6581069469231278
E01003078,6.711822660098522,8.435960591133004,8.004926108374384,73.39901477832512,3.4482758620689653,0.44204011866339876
E01003081,4.587155963302752,27.037236913113873,8.742579600647598,54.830005396654066,4.803022126281705,0.6142114608856164
E01003094,5.88235294117647,22.920892494929006,6.152805949966194,59.63488843813387,5.409060175794456,0.5816595739039363
E01003101,4.825174825174825,26.99300699300699,9.51048951048951,50.76923076923077,7.902097902097902,0.6517687906499096
E01003105,8.382180539273154,28.54630715123095,7.502930832356388,45.545134818288396,10.023446658851114,0.6883724637820587
E01003107,4.281842818428185,14.363143631436316,7.750677506775068,69.37669376693766,4.227642276422764,0.48842943280381335
E01003113,7.884508606329817,15.324819544697391,9.272626318711827,60.79955580233204,6.718489727928928,0.5875278741127531
E01003114,6.85383980181668,15.565648224607761,10.280759702725021,60.156895127993394,7.142857142857142,0.5935169015649964
E01003118,18.333333333333332,12.419354838709678,9.408602150537634,55.107526881720425,4.731182795698925,0.6361903110186149
E01003121,3.5623409669211195,45.35623409669211,6.997455470737914,37.213740458015266,6.870229007633588,0.6449094846842647
E01003122,7.728706624605679,23.396424815983174,6.256572029442692,57.99158780231335,4.6267087276550996,0.596929901669724
E01003125,5.571187394485087,42.76871131119865,5.571187394485087,33.65222284749578,12.436691052335396,0.6821617687901653
E01003127,4.695735505510302,31.672256827982746,5.84571154767609,53.80929563967417,3.9770004791566844,0.6029389041936886
