LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01001445,14,1.0,0,0,3,7,0,1.0,1.0,0.0,1
E01002319,14,1.0,1,1,2,6,2,0.0,0.0,1.0,0
E01000864,14,1.0,1,1,1,4,2,0.0,2.0,0.0,2
E01003250,14,0.0,1,0,2,6,1,1.0,1.0,0.0,2
E01004056,14,0.0,1,0,1,8,1,0.0,2.0,0.0,1
E01003154,14,0.0,0,0,3,7,1,0.0,2.0,0.0,1
E01003854,14,3.0,1,1,0,3,1,3.0,0.0,1.0,1
E01001899,14,2.0,2,3,2,1,1,1.0,0.0,2.0,0
E01001518,14,0.0,0,1,2,7,1,3.0,0.0,0.0,0
E01000288,14,0.0,0,0,3,8,3,0.0,0.0,0.0,0
E01004710,14,2.0,1,0,3,2,1,1.0,1.0,1.0,2
E01000644,14,1.0,0,1,3,1,2,2.0,1.0,0.0,3
E01001755,14,0.0,4,4,1,1,0,0.0,1.0,1.0,2
E01003165,14,2.0,0,0,1,3,4,2.0,1.0,0.0,1
E01003808,14,1.0,4,2,1,1,1,3.0,1.0,0.0,0
E01002371,14,0.0,1,2,0,5,2,0.0,0.0,0.0,4
E01001266,14,0.0,1,2,1,5,2,0.0,0.0,2.0,1
E01002557,14,1.0,0,0,0,10,1,0.0,0.0,0.0,2
E01003572,14,0.0,0,1,2,2,1,5.0,0.0,2.0,1
E01000725,14,2.0,1,1,1,5,3,0.0,0.0,0.0,1
E01000432,14,1.0,0,0,1,7,2,0.0,1.0,0.0,2
E01003516,14,0.0,0,1,3,6,1,0.0,0.0,0.0,3
E01004344,14,0.0,2,2,3,4,1,0.0,0.0,0.0,2
E01000813,14,0.0,0,0,2,8,2,0.0,0.0,1.0,1
E01001347,14,0.0,1,1,3,4,2,1.0,1.0,1.0,0
E01004065,14,1.0,1,2,2,1,3,2.0,1.0,0.0,1
E01004335,14,0.0,1,3,1,4,0,2.0,2.0,1.0,0
